CVE-2018-14767,cwe20,instanceof
CVE-2018-14734,cwe416,instanceof
CVE-2018-14682,cwe682,instanceof
CVE-2018-14681,cwe787,instanceof
CVE-2018-14680,cwe20,instanceof
CVE-2018-14679,cwe682,instanceof
CVE-2018-14432,cwe200,instanceof
CVE-2018-10906,cwe284,instanceof
CVE-2018-10903,cwe20,instanceof
CVE-2018-10900,cwe77,instanceof
CVE-2018-10883,cwe787,instanceof
CVE-2018-8020,cwe295,instanceof
CVE-2018-8019,cwe295,instanceof
CVE-2017-18344,cwe125,instanceof
CVE-2017-15120,cwe476,instanceof
CVE-2017-15119,cwe400,instanceof
CVE-2017-15118,cwe787,instanceof
CVE-2017-15101,cwe119,instanceof
CVE-2017-15097,cwe59,instanceof
CVE-2017-12173,cwe20,instanceof
CVE-2017-12163,cwe200,instanceof
CVE-2017-7558,cwe125,instanceof
CVE-2017-7537,cwe798,instanceof
CVE-2017-7482,cwe190,instanceof
CVE-2017-3224,cwe345,instanceof
CVE-2017-2666,cwe444,instanceof
CVE-2017-2640,cwe787,instanceof
CVE-2017-2634,cwe119,instanceof
CVE-2017-2633,cwe125,instanceof
CVE-2017-2626,cwe331,instanceof
CVE-2017-2624,cwe200,instanceof
CVE-2017-2623,cwe295,instanceof
CVE-2016-9597,cwe119,instanceof
CVE-2016-9578,cwe20,instanceof
CVE-2016-9577,cwe119,instanceof
CVE-2016-8626,cwe20,instanceof
CVE-2015-9261,cwe476,instanceof
CVE-2018-1000637,cwe119,instanceof
CVE-2018-1000632,cwe91,instanceof
CVE-2018-1000222,cwe415,instanceof
CVE-2018-16276,cwe20,instanceof
CVE-2018-16140,cwe119,instanceof
CVE-2018-16058,cwe74,instanceof
CVE-2018-16057,cwe74,instanceof
CVE-2018-16056,cwe74,instanceof
CVE-2018-15911,cwe119,instanceof
CVE-2018-15910,cwe704,instanceof
CVE-2018-15909,cwe704,instanceof
CVE-2018-15864,cwe476,instanceof
CVE-2018-15863,cwe476,instanceof
CVE-2018-15862,cwe476,instanceof
CVE-2018-15861,cwe476,instanceof
CVE-2018-15859,cwe476,instanceof
CVE-2018-15858,cwe476,instanceof
CVE-2018-15857,cwe416,instanceof
CVE-2018-15855,cwe476,instanceof
CVE-2018-15854,cwe476,instanceof
CVE-2018-15599,cwe200,instanceof
CVE-2018-15501,cwe125,instanceof
CVE-2018-15494,cwe74,instanceof
CVE-2018-15473,cwe200,instanceof
CVE-2018-15471,cwe190,instanceof
CVE-2018-15120,cwe119,instanceof
CVE-2018-14912,cwe22,instanceof
CVE-2018-14883,cwe190,instanceof
CVE-2018-14851,cwe125,instanceof
CVE-2018-14622,cwe769,instanceof
CVE-2018-14619,cwe20,instanceof
CVE-2018-14600,cwe787,instanceof
CVE-2018-14599,cwe682,instanceof
CVE-2018-14598,cwe20,instanceof
CVE-2018-14574,cwe601,instanceof
CVE-2018-14567,cwe400,instanceof
CVE-2018-14348,cwe200,instanceof
CVE-2018-12827,cwe125,instanceof
CVE-2018-12826,cwe125,instanceof
CVE-2018-12824,cwe125,instanceof
CVE-2018-10936,cwe297,instanceof
CVE-2018-10925,cwe285,instanceof
CVE-2018-10919,cwe200,instanceof
CVE-2018-10918,cwe476,instanceof
CVE-2018-10916,cwe20,instanceof
CVE-2018-10915,cwe20,instanceof
CVE-2018-10902,cwe415,instanceof
CVE-2018-10897,cwe22,instanceof
CVE-2018-10858,cwe119,instanceof
CVE-2018-8040,cwe284,instanceof
CVE-2018-8037,cwe362,instanceof
CVE-2018-8034,cwe295,instanceof
CVE-2018-8004,cwe444,instanceof
CVE-2018-7073,cwe284,instanceof
CVE-2018-6557,cwe59,instanceof
CVE-2018-5995,cwe200,instanceof
CVE-2018-5953,cwe200,instanceof
CVE-2018-5390,cwe20,instanceof
CVE-2018-1656,cwe22,instanceof
